Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2023-02-14 11:46:49,Jojo And Sky Pty Ltd,AUD,-11.12,,,AUD,-11.12,-7.503074606,,
2023-02-14 08:32:47,Aldi Stores   Cloverda,AUD,-25.12,,,AUD,-25.12,-16.949391556,,
2023-02-14 08:08:10,Ampol High Wyco 50068 F,AUD,-37.88,,,AUD,-37.88,-25.559034719,,
2023-02-12 12:51:58,Spotify P21123363 C,AUD,-11.99,,,AUD,-11.99,-8.09009573075,,
2023-02-12 07:26:37,Ben & Jerrys Hillarys,AUD,-8.76,,,AUD,-8.76,-5.910695463,,
2023-02-11 09:09:21,Burger Freak,AUD,-47.0,,,AUD,-47.0,-31.712635475,,
2023-02-11 08:15:27,Aldi Stores   Cloverda,AUD,-53.42,,,AUD,-53.42,-36.0444465335,,
2023-02-11 08:12:31,AUD Deposit,AUD,200.0,,,AUD,200.0,134.947385,,
2023-02-11 07:55:59,Family Fresh Market,AUD,-48.88,,,AUD,-48.88,-32.981140894,,
2023-02-11 07:47:12,Woolworths/Belmont Forum,AUD,-46.98,,,AUD,-46.98,-31.6991407365,,
2023-02-10 14:47:24,Crown Perth Parking,AUD,-20.17,,,AUD,-20.17,-13.60944377725,,
2023-02-10 10:22:23,Smp*Maruzzella,AUD,-48.28,,,AUD,-48.28,-32.576298739,,
2023-02-07 09:04:58,Ampol Rivervale 55533 F,AUD,-51.79,,,AUD,-51.79,-34.94462534575,,
2023-02-05 06:33:52,AUD Deposit,AUD,200.0,,,AUD,200.0,134.947385,,
2023-02-03 11:24:53,Sinamon,AUD,-7.0,,,AUD,-7.0,-4.723158475,,
2023-02-03 10:57:06,Tao Cafe Victoria Park,AUD,-78.6,,,AUD,-78.6,-53.034322305,,
2023-02-02 09:23:15,Amazon Web Services,AUD,-1.54,,,AUD,-1.54,-1.0390948645,,
2023-02-02 09:01:19,Aldi Stores   Cloverda,AUD,-2.8,,,AUD,-2.8,-1.88926339,,
2023-01-31 21:18:24,Netflix.Com,AUD,-22.99,,,AUD,-22.99,-15.51220190575,,
2023-01-31 08:41:39,Ampol Rivervale 55533 F,AUD,-41.59,,,AUD,-41.59,-28.06230871075,,
2023-01-31 08:27:32,AUD Deposit,AUD,200.0,,,AUD,200.0,134.947385,,
2023-01-29 07:41:50,The Reject Shop 6638,AUD,-7.5,,,AUD,-7.5,-5.0605269375,,
2023-01-29 07:28:04,Boost Juice Belmont,AUD,-9.5,,,AUD,-9.5,-6.4100007875,,
2023-01-29 07:19:16,Aldi Stores   Cloverda,AUD,-17.12,,,AUD,-17.12,-11.551496156,,
2023-01-29 07:09:00,Coles 4824,AUD,-33.1,,,AUD,-33.1,-22.3337922175,,
2023-01-29 07:01:20,Family Fresh Market,AUD,-30.67,,,AUD,-30.67,-20.69418148975,,
2023-01-29 06:51:52,Woolworths/Belmont Forum,AUD,-31.7,,,AUD,-31.7,-21.3891605225,,
2023-01-28 13:06:12,Westfield Carousel,AUD,-25.0,,,AUD,-25.0,-16.868423125,,
2023-01-28 12:00:02,Strike Australia Pty,AUD,-60.0,,,AUD,-60.0,-40.4842155,,
2023-01-28 11:19:21,Smp*Zeus Street Greek,AUD,-28.93,,,AUD,-28.93,-19.52013924025,,
2023-01-28 07:20:29,The Hoyts Corporatio,AUD,-34.8,,,AUD,-34.8,-23.48084499,,
2023-01-28 03:10:11,AUD Deposit,AUD,200.0,,,AUD,200.0,134.947385,,
2023-01-28 01:50:15,Hoyts,AUD,-57.5,,,AUD,-57.5,-38.7973731875,,
2023-01-27 10:02:11,Telco,AUD,-30.0,,,AUD,-30.0,-20.24210775,,
